題號,測哪條軸,切入角度,題目,選項A,A加分,選項B,B加分
Q1,E/I,社交場合的反應,"週五晚上,朋友臨時揪你去一個會有很多陌生人的聚會。你的第一反應是——",「聽起來不錯!說不定能認識新朋友」,E,「有點累…比較想約一兩個熟人就好」,I
Q2,E/I,充電方式,"忙了一整週,終於到週末。能讓你真正回血的是——",出門和一群人吃飯、聊天、走跳一整天,E,"關掉手機,一個人窩著耍廢、做自己的事",I
Q3,E/I,注意力流向,"走進一間熱鬧的酒吧,你的注意力會先飄向——","現場的氣氛和音樂,很快就融入這個空間",E,"先找個舒服的位置坐下,慢慢感受周圍",I
Q4,S/N,注意細節 vs 想像,朋友跟你分享一個還很模糊的夢想計畫。你更想先問的是——,「具體要怎麼做?錢、時間、第一步是什麼?」,S,「聽起來好酷!想像一下成真會是什麼樣子」,N
Q5,S/N,務實 vs 可能性,"你欣賞一個人,通常是因為他——",做事穩重、注重細節、讓人很有安全感,S,想法新穎、有創意、總能看到別人沒看到的,N
Q6,S/N,當下實感 vs 抽象意涵,"喝到一杯很特別的酒,你會更想知道——",它用了什麼:基酒、配方、怎麼調出來的,S,它想表達什麼:背後的概念、靈感、想說的故事,N
Q7,T/F,決策依據,"要做一個有點難的決定時,最後讓你拍板的通常是——","把利弊分析清楚,哪個最合理就選哪個",T,想清楚哪個選擇對在乎的人最好、最不會後悔,F
Q8,T/F,衝突/安慰,朋友因為某件事很難過來找你。你的第一直覺是——,幫他釐清問題出在哪、可以怎麼解決,T,"先聽他說、陪著他,讓他知道我會接住他",F
Q9,T/F,欣賞的人,你比較容易被哪種人吸引——,思緒敏捷、腦袋靈活、講話有條理,T,溫柔體貼、能將心比心、感同身受,F
Q10,J/P,計畫 vs 隨興,"規劃一趟旅行,你比較像——","行程、住宿、必吃清單先排好,心裡才踏實",J,"訂好機票就出發,到當地再隨興走",P
Q11,J/P,對未定的態度,"面對還沒決定的事,你的感覺比較接近——","趕快定下來,懸在那邊我會很不安",J,"還不用急著決定吧,看看再說也不遲",P
Q12,J/P,生活節奏,"你的書桌 / 房間,平常比較常是——","大致整齊,東西有固定位置",J,"有點亂但我知道東西在哪,亂中有序",P
